Time	latitude	longtitude	elevation			
12:37:04	52.3445	10.1513	1867
12:37:30	52.3762	10.1221	1646
12:37:54	52.4028	10.0975	1463
12:38:16	52.4256	10.0733	1311
12:38:35	52.4438	10.0451	1128
12:38:51	52.4556	10.0170	1036
12:39:07	52.4600	9.9911	960
12:39:28	52.4601	9.9537	861
12:39:48	52.4605	9.9189	823
12:40:15	52.4618	9.8758	648
12:40:40	52.4629	9.8406	518
12:40:59	52.4635	9.8178	442
12:41:10	52.4640	9.8033	444
12:42:19	52.4662	9.7234	107
12:42:35	52.4668	9.7067	38
